Stock,R2_Score,RMSE,MAE,MAPE
Coca-Cola_vs_Linde PLC,0.9864916928,0.1330490273,0.08068023478,0.03043260489
Coca-Cola_vs_Elevance Health,0.97366858,0.1311695366,0.09981479114,0.03299154784
Coca-Cola_vs_McKesson,0.9907291152,0.104455784,0.07286075487,0.02529822059
Coca-Cola_vs_WW Grainger,0.9941814146,0.1024791546,0.07798578337,0.03521860579
Coca-Cola_vs_P&G,0.9726597662,0.1270857168,0.0824356704,0.04140494638
McDonald’s_vs_Applied Materials,0.9844494907,0.1836241734,0.1200803934,0.0428406965
McDonald’s_vs_NextEra Energy,0.9921587804,0.1394730726,0.114443783,0.03978297606
McDonald’s_vs_Southern,0.9903761791,0.08741675676,0.06291426285,0.02202777179
McDonald’s_vs_Rio Tinto ADR,0.9809589909,0.1285867106,0.1080921624,0.03579407501
McDonald’s_vs_Waste Management,0.9929356215,0.06439718341,0.04456228235,0.01716055226
McDonald’s_vs_BHP Group Ltd ADR,0.9958918534,0.07282986931,0.05407850724,0.0173947557
McDonald’s_vs_Enbridge,0.9936467921,0.1413413089,0.1107340494,0.01952212247
McDonald’s_vs_Sherwin-Williams,0.9940622865,0.07023589039,0.04291402373,0.0157853067
McDonald’s_vs_Linde PLC,0.9823637773,0.1335022505,0.08612661107,0.03259539942
McDonald’s_vs_Elevance Health,0.9951400199,0.06711039276,0.04717814589,0.01814755382
McDonald’s_vs_McKesson,0.9894973325,0.1440541382,0.1024393953,0.03493806662
McDonald’s_vs_WW Grainger,0.9972055182,0.06864780582,0.05255852674,0.02018931028
McDonald’s_vs_P&G,0.9798712983,0.08640811563,0.06238279546,0.03367847274
Applied Materials_vs_NextEra Energy,0.9895368018,0.2194075777,0.1703975545,0.0403378047
Applied Materials_vs_Southern,0.9950819057,0.07044863134,0.05490415568,0.02190213404
Applied Materials_vs_Rio Tinto ADR,0.9730353376,0.2608246109,0.2026094388,0.04694523496
Applied Materials_vs_Waste Management,0.9856573169,0.06527665588,0.05113811179,0.02736837736
Applied Materials_vs_BHP Group Ltd ADR,0.9890292422,0.2145958661,0.1631480462,0.0344908237
Applied Materials_vs_Enbridge,0.9787104884,0.4070723996,0.371520091,0.0621094177
Applied Materials_vs_Sherwin-Williams,0.9885343925,0.1180155711,0.08121646627,0.0327383449
Applied Materials_vs_Linde PLC,0.9272409239,0.225335422,0.1403578513,0.05584834978
Applied Materials_vs_Elevance Health,0.9944715384,0.07670685881,0.05533059005,0.02017334404
Applied Materials_vs_McKesson,0.9957860676,0.04526775269,0.03548302019,0.0257216976
Applied Materials_vs_WW Grainger,0.9912658747,0.09193943238,0.05275880311,0.02154849323
Applied Materials_vs_P&G,0.9928258162,0.07359185651,0.0587967239,0.03619181101
NextEra Energy_vs_Southern,0.9959693892,0.1008052716,0.07332496278,0.02510633852
NextEra Energy_vs_Rio Tinto ADR,0.9824918909,0.1488738282,0.1189034425,0.04051304786
NextEra Energy_vs_Waste Management,0.9898244128,0.1698698872,0.1347856475,0.05101476798
NextEra Energy_vs_BHP Group Ltd ADR,0.988342306,0.1462119115,0.1075070693,0.03770072443
NextEra Energy_vs_Enbridge,0.9910083055,0.1210070569,0.08290419929,0.02033063548
Sherwin-Williams_vs_Waste Management,0.9819415656,0.09206745127,0.06432167276,0.02838686096
Sherwin-Williams_vs_Elevance Health,0.9970935534,0.0723416119,0.05180243837,0.019471953
Sherwin-Williams_vs_McKesson,0.9801232246,0.1203968273,0.08034850825,0.02870818381
Sherwin-Williams_vs_WW Grainger,0.9816298718,0.1043860069,0.07838305475,0.03222693566
Sherwin-Williams_vs_P&G,0.9695786312,0.1249103807,0.08131354564,0.03695094115
Enbridge_vs_Southern,0.9535594449,0.3072692971,0.2803572166,0.04614198089
Enbridge_vs_NextEra Energy,0.986104043,0.1504298965,0.1048556066,0.02448869647
Enbridge_vs_BHP Group Ltd ADR,0.9921334621,0.1357230739,0.1024287164,0.02286514008
Enbridge_vs_Rio Tinto ADR,0.9949594797,0.1113119051,0.08656434302,0.02346381457
Enbridge_vs_Linde PLC,0.9956265181,0.1446917228,0.1006845712,0.01665642972
Enbridge_vs_Waste Management,0.9763695423,0.2874862846,0.2238990528,0.03180974642
Enbridge_vs_Elevance Health,0.9957559768,0.1359367263,0.1073704489,0.01926818031
Enbridge_vs_McKesson,0.9982227748,0.100502017,0.08478462764,0.01317858502
Enbridge_vs_WW Grainger,0.9721406659,0.3241112226,0.2783748745,0.03617728541
Enbridge_vs_P&G,0.9817780143,0.2371218715,0.2021961063,0.03545371398
Southern_vs_NextEra Energy,0.9948558512,0.113881866,0.07497728857,0.0237125857
Southern_vs_BHP Group Ltd ADR,0.9894499374,0.2424320683,0.1656216709,0.03780698214
Southern_vs_Rio Tinto ADR,0.9944587147,0.1427940262,0.1175627562,0.03713366638
Southern_vs_Linde PLC,0.9734707013,0.1920458872,0.1752798432,0.07935215036
Southern_vs_Waste Management,0.9917819085,0.06918486708,0.05439905571,0.02219636363
Southern_vs_Elevance Health,0.9859001122,0.1677401635,0.1479316652,0.05183044389
Southern_vs_McKesson,0.9736672104,0.1500359948,0.1277136727,0.04538203147
Southern_vs_WW Grainger,0.9957710715,0.06952081433,0.05037505121,0.02126038177
Southern_vs_P&G,0.9855209531,0.08632376165,0.06534390999,0.03149214891
NextEra Energy_vs_BHP Group Ltd ADR,0.990887101,0.1292720715,0.08972367714,0.02907027531
NextEra Energy_vs_Rio Tinto ADR,0.9839590941,0.1424994472,0.1114434686,0.03661156175
NextEra Energy_vs_Linde PLC,0.9928664712,0.1649792817,0.1248626421,0.04044147252
NextEra Energy_vs_Waste Management,0.9962628397,0.1029455374,0.0708642654,0.01825103615
NextEra Energy_vs_Elevance Health,0.9958990357,0.1090357288,0.08107382961,0.02415293412
NextEra Energy_vs_McKesson,0.9968216798,0.1282187532,0.08870876166,0.02475289661
NextEra Energy_vs_WW Grainger,0.9977186571,0.1072038589,0.08608660491,0.02940103159
NextEra Energy_vs_P&G,0.9911134637,0.1507042968,0.1068734772,0.03739776375
BHP Group Ltd ADR_vs_Rio Tinto ADR,0.9868701334,0.05352655891,0.03587112543,0.01973659272
BHP Group Ltd ADR_vs_Linde PLC,0.9957169241,0.1204761283,0.07976088249,0.02019034008
BHP Group Ltd ADR_vs_Waste Management,0.984394628,0.2341206083,0.1787577167,0.04082180327
BHP Group Ltd ADR_vs_Elevance Health,0.9944520648,0.0743653016,0.05972220524,0.01950511297
BHP Group Ltd ADR_vs_McKesson,0.9774751949,0.3452867213,0.2558012894,0.04872335833
BHP Group Ltd ADR_vs_WW Grainger,0.9894589737,0.2732916357,0.2218967124,0.05219517709
BHP Group Ltd ADR_vs_P&G,0.9963301993,0.08709375776,0.06474306228,0.02122085374
Rio Tinto ADR_vs_Linde PLC,0.9903840786,0.1397052496,0.09529677489,0.02434658375
Rio Tinto ADR_vs_Waste Management,0.991203113,0.1334673646,0.1075326338,0.02975681227
Rio Tinto ADR_vs_Elevance Health,0.9858139892,0.0813778849,0.06103568758,0.0194856538
Rio Tinto ADR_vs_McKesson,0.9955774368,0.1186797064,0.09188747463,0.02416367075
Rio Tinto ADR_vs_WW Grainger,0.9926669083,0.1835375194,0.162349664,0.04331740572
Rio Tinto ADR_vs_P&G,0.9717655609,0.176403756,0.1357961712,0.04530766271
Linde PLC_vs_Waste Management,0.976219663,0.1061817199,0.06085333616,0.02910577764
Linde PLC_vs_Elevance Health,0.9881390229,0.1262874272,0.06992770046,0.02408491566
Linde PLC_vs_McKesson,0.9696782452,0.1571736305,0.1070485841,0.04934682399
Linde PLC_vs_WW Grainger,0.9874381289,0.1205401455,0.06227096516,0.04219928903
Linde PLC_vs_P&G,0.965715111,0.1697796706,0.09231050692,0.04046298181
Waste Management_vs_Elevance Health,0.9941215648,0.092404158,0.08072334585,0.03079914452
Waste Management_vs_McKesson,0.9871392069,0.05424087278,0.04153947146,0.02068314392
Waste Management_vs_WW Grainger,0.985563788,0.07766169333,0.06480879503,0.03393933418
Waste Management_vs_P&G,0.9541115629,0.08836182943,0.070194474,0.03553589348
Elevance Health_vs_McKesson,0.9970614008,0.08851676563,0.06132680518,0.02323955727
Elevance Health_vs_WW Grainger,0.9929097273,0.1685137249,0.1467327494,0.0550750435
Elevance Health_vs_P&G,0.987850523,0.09545574396,0.07339639609,0.034800545
McKesson_vs_WW Grainger,0.8804397134,0.1551231882,0.1036790264,0.06036528395
McKesson_vs_P&G,0.9507269884,0.190484048,0.1572990409,0.06254449389
WW Grainger_vs_P&G,0.9934893925,0.08883939172,0.06282235047,0.02673865637
JPMorgan_vs_WW Grainger,0.9954018004,0.03933684734,0.028523459,0.01253212384
JPMorgan_vs_P&G,0.9930423522,0.08953908806,0.06257896916,0.0236484603
Exxon Mobil_vs_Caterpillar,0.9612628798,0.1478632479,0.1247041006,0.0455935075
Exxon Mobil_vs_Walt Disney,0.9405109664,0.3588394522,0.2989237997,0.0361723162
Exxon Mobil_vs_Chevron,0.9711061709,0.1113310351,0.07220909997,0.03889253961
Exxon Mobil_vs_UnitedHealth,0.9588249471,0.1838357428,0.1330371829,0.0571917121
Exxon Mobil_vs_Novo Nordisk ADR,0.9790959475,0.2200587717,0.15420539,0.05275623239
Exxon Mobil_vs_Coca-Cola,0.9706516235,0.1565170042,0.1046952944,0.04639525102
Exxon Mobil_vs_McDonald’s,0.9560331369,0.1363921736,0.10556732,0.04769032685
Exxon Mobil_vs_Applied Materials,0.9520385862,0.1946284795,0.1443663695,0.05267098705
Exxon Mobil_vs_NextEra Energy,0.9749253546,0.2406081951,0.180495614,0.05558442743
Exxon Mobil_vs_Southern,0.9668554055,0.1280682554,0.1022282573,0.04059000611
Exxon Mobil_vs_Rio Tinto ADR,0.9176703464,0.2466857756,0.2104572589,0.06162441867
Exxon Mobil_vs_Waste Management,0.931500798,0.1356140757,0.1088758668,0.04331982656
Exxon Mobil_vs_BHP Group Ltd ADR,0.9811986822,0.161214249,0.1341037096,0.04091956294
Exxon Mobil_vs_Enbridge,0.9784694109,0.2885517646,0.2366784117,0.03770526101
Exxon Mobil_vs_Sherwin-Williams,0.9605252882,0.1549400199,0.1070811767,0.03918009015
Exxon Mobil_vs_Linde PLC,0.9717635276,0.1542695862,0.080612454,0.04270639579
Exxon Mobil_vs_Elevance Health,0.97758807,0.1091861643,0.08054611603,0.03014499791
Exxon Mobil_vs_McKesson,0.9863087961,0.1103465667,0.09153643764,0.03685018026
Exxon Mobil_vs_WW Grainger,0.9849309822,0.1327196078,0.09995746628,0.03971439822
Exxon Mobil_vs_P&G,0.958752765,0.1022714248,0.07612527421,0.04801154074
Caterpillar_vs_Walt Disney,0.9584352437,0.3691122763,0.3165692547,0.03472893634
Caterpillar_vs_Chevron,0.9907937113,0.1063989429,0.0881144261,0.02826112944
Caterpillar_vs_UnitedHealth,0.9923659546,0.121563385,0.1007174333,0.03969781931
Caterpillar_vs_Novo Nordisk ADR,0.9800838166,0.2396611934,0.1779138234,0.0512038812
Caterpillar_vs_Coca-Cola,0.9865649772,0.1326140091,0.1014644574,0.03461200834
Caterpillar_vs_McDonald’s,0.9922301302,0.09657410699,0.07802784783,0.02885784373
Caterpillar_vs_Applied Materials,0.9886874695,0.08700837492,0.06450999293,0.03447458423
Caterpillar_vs_NextEra Energy,0.9963206698,0.1221104934,0.09871309875,0.02481483654
Caterpillar_vs_Southern,0.9735689853,0.1443170299,0.1270823871,0.05881384928
Caterpillar_vs_Rio Tinto ADR,0.9931493389,0.16430661,0.1395471629,0.04198068916
Caterpillar_vs_Waste Management,0.9877586035,0.04958440945,0.03726244837,0.01859056398
Caterpillar_vs_BHP Group Ltd ADR,0.9918788628,0.2169544779,0.1687710925,0.0361341062
Caterpillar_vs_Enbridge,0.9870293546,0.2560358704,0.2162104178,0.03029845155
Caterpillar_vs_Sherwin-Williams,0.9907327321,0.07716728911,0.04622730764,0.01970264984
Caterpillar_vs_Linde PLC,0.9902091853,0.09167786877,0.04578610211,0.02180296959
Caterpillar_vs_Elevance Health,0.9988593808,0.06242407026,0.0465802054,0.01770148403
