Stock,R2_Score,RMSE,MAE,MAPE
JPMorgan_vs_Sherwin-Williams,0.9891950421,0.09989553237,0.06555431921,0.03040725622
JPMorgan_vs_Linde PLC,0.9836654824,0.1341164406,0.08276207991,0.0269297036
JPMorgan_vs_Elevance Health,0.993437952,0.1757691808,0.1444793301,0.04823547529
JPMorgan_vs_McKesson,0.9696196662,0.0970011245,0.07315026884,0.03306074903
JPMorgan_vs_WW Grainger,0.983567027,0.07436416634,0.06292359777,0.02725496287
JPMorgan_vs_P&G,0.9876260204,0.1194087477,0.0967287504,0.04597399774
UnitedHealth_vs_Novo Nordisk ADR,0.9855294758,0.2115783093,0.1559871667,0.05763914717
UnitedHealth_vs_Coca-Cola,0.9655785642,0.1688005398,0.1318887619,0.05027025107
UnitedHealth_vs_McDonald’s,0.9767437955,0.1449451433,0.09890863769,0.04303235583
UnitedHealth_vs_Applied Materials,0.9926464453,0.1332832424,0.1055251689,0.0468942147
UnitedHealth_vs_NextEra Energy,0.9805250393,0.2372776612,0.1731256808,0.04773298195
UnitedHealth_vs_Southern,0.9882502021,0.1061933881,0.07727506908,0.02875990466
UnitedHealth_vs_Rio Tinto ADR,0.9767969251,0.1596962653,0.1213768811,0.03967184949
UnitedHealth_vs_Waste Management,0.9815282045,0.1347810619,0.1025112595,0.03763343797
UnitedHealth_vs_BHP Group Ltd ADR,0.9863766581,0.1669844659,0.119205267,0.03789995114
UnitedHealth_vs_Enbridge,0.9748462433,0.2748580244,0.2227502512,0.03830468688
UnitedHealth_vs_Sherwin-Williams,0.9872429806,0.1014294547,0.07167306914,0.02808066032
UnitedHealth_vs_Linde PLC,0.9868578653,0.1457954709,0.1058688735,0.05134975601
UnitedHealth_vs_Elevance Health,0.9841871455,0.1410879814,0.1056856456,0.03608824033
UnitedHealth_vs_McKesson,0.9803374339,0.2277147546,0.1629305643,0.0558206741
UnitedHealth_vs_WW Grainger,0.9902943359,0.1559914956,0.1256558545,0.07407455033
UnitedHealth_vs_P&G,0.9403461505,0.2311141923,0.1715743618,0.08634723223
Novo Nordisk ADR_vs_Coca-Cola,0.9752287128,0.2376031662,0.167062974,0.05657023084
Novo Nordisk ADR_vs_McDonald’s,0.9741729838,0.2937132287,0.1837908544,0.04840632935
Novo Nordisk ADR_vs_Applied Materials,0.9585727885,0.2843431552,0.1805752559,0.05840194262
Novo Nordisk ADR_vs_NextEra Energy,0.9832873248,0.3082540888,0.2135979022,0.07577542045
Novo Nordisk ADR_vs_Southern,0.9776173029,0.261134325,0.1973620222,0.05607577406
Novo Nordisk ADR_vs_Rio Tinto ADR,0.976058671,0.3218229572,0.2343825595,0.04982932893
Novo Nordisk ADR_vs_Waste Management,0.9765155208,0.2044837867,0.1216004293,0.03698042112
Novo Nordisk ADR_vs_BHP Group Ltd ADR,0.9418081843,0.6208088909,0.489886354,0.08264546581
Novo Nordisk ADR_vs_Enbridge,0.9809037583,0.3721288862,0.2767089521,0.0353705917
Novo Nordisk ADR_vs_Sherwin-Williams,0.9634913405,0.2666933664,0.1738222572,0.04327231162
Novo Nordisk ADR_vs_Linde PLC,0.9456430335,0.3308915266,0.2021417879,0.06613915912
Novo Nordisk ADR_vs_Elevance Health,0.9743065686,0.2201178577,0.1557805607,0.04531310964
Novo Nordisk ADR_vs_McKesson,0.9418583686,0.4130824013,0.2399730729,0.07771572076
Novo Nordisk ADR_vs_WW Grainger,0.9789978721,0.2649775552,0.1572223509,0.05273136933
Novo Nordisk ADR_vs_P&G,0.966736942,0.2861564004,0.1801597171,0.05541649731
Coca-Cola_vs_McDonald’s,0.9776914561,0.1290972948,0.09049700729,0.03742546049
Coca-Cola_vs_Applied Materials,0.957087298,0.1944120533,0.1458424096,0.05381251021
Coca-Cola_vs_NextEra Energy,0.9732176252,0.1894215429,0.1295030481,0.04168479258
Coca-Cola_vs_Southern,0.9741791626,0.1346865029,0.1114881081,0.05230858282
Coca-Cola_vs_Rio Tinto ADR,0.9732987154,0.2339413028,0.1784091817,0.05735378364
Coca-Cola_vs_Waste Management,0.9737315718,0.1091657454,0.07690219842,0.02857454451
Coca-Cola_vs_BHP Group Ltd ADR,0.9785289356,0.2520304936,0.192750315,0.0591913059
Coca-Cola_vs_Enbridge,0.8887691167,0.4679971502,0.4270920177,0.07427299746
Coca-Cola_vs_Sherwin-Williams,0.9829662026,0.1197075195,0.07954004505,0.03093347005
Coca-Cola_vs_Linde PLC,0.9789515118,0.166081666,0.1028844793,0.04139913687
Coca-Cola_vs_Elevance Health,0.9797109095,0.115140241,0.08227570719,0.02984897832
Coca-Cola_vs_McKesson,0.9755342169,0.169688129,0.1295535432,0.04302152192
Coca-Cola_vs_WW Grainger,0.9917826669,0.1217845716,0.08580975698,0.03536120767
Coca-Cola_vs_P&G,0.9088887314,0.2319966306,0.1569035152,0.07616073676
McDonald’s_vs_Applied Materials,0.9825729938,0.1943877705,0.1384281287,0.05145698979
McDonald’s_vs_NextEra Energy,0.9917333374,0.1432068085,0.1098733789,0.03853767958
McDonald’s_vs_Southern,0.9877860812,0.09848009005,0.07246396259,0.02791473091
McDonald’s_vs_Rio Tinto ADR,0.9755671882,0.1456591701,0.1104664876,0.03621545277
McDonald’s_vs_Waste Management,0.9910484595,0.07249011419,0.04895448207,0.02157874054
McDonald’s_vs_BHP Group Ltd ADR,0.9793775749,0.1631760554,0.123126591,0.03830959035
McDonald’s_vs_Enbridge,0.9845786847,0.2202080976,0.1698296848,0.03223335489
McDonald’s_vs_Sherwin-Williams,0.9935352403,0.07328678425,0.04959526119,0.02124608485
McDonald’s_vs_Linde PLC,0.9434381776,0.2390823395,0.1784198471,0.0699222781
McDonald’s_vs_Elevance Health,0.992301728,0.08446351724,0.06125068043,0.02651726357
McDonald’s_vs_McKesson,0.9858148866,0.1674142169,0.1278761056,0.04963986026
McDonald’s_vs_WW Grainger,0.9907398614,0.1249639538,0.09202813706,0.03514645714
McDonald’s_vs_P&G,0.8517564766,0.2344955019,0.182353591,0.09278560417
Applied Materials_vs_NextEra Energy,0.9848721744,0.2638199604,0.1921028048,0.0465996449
Applied Materials_vs_Southern,0.9709532668,0.1712074983,0.124802455,0.04557026164
Applied Materials_vs_Rio Tinto ADR,0.9927356165,0.1353787362,0.1061322751,0.03488147327
Applied Materials_vs_Waste Management,0.9665636619,0.0996671523,0.07791942454,0.04221826204
Applied Materials_vs_BHP Group Ltd ADR,0.9855150087,0.2465824466,0.20211007,0.04851766694
Applied Materials_vs_Enbridge,0.9650924016,0.5212532718,0.4462821592,0.06849713922
Applied Materials_vs_Sherwin-Williams,0.9854606873,0.1328962468,0.08410209836,0.03619643296
Applied Materials_vs_Linde PLC,0.9619977213,0.1628511006,0.08640773244,0.03820841308
Applied Materials_vs_Elevance Health,0.9897736471,0.1043259714,0.07883323873,0.03066692738
Applied Materials_vs_McKesson,0.9824237737,0.09245022461,0.07101917479,0.04896820669
Applied Materials_vs_WW Grainger,0.9919001093,0.08853840362,0.06273992182,0.03290632056
Applied Materials_vs_P&G,0.9841720593,0.1093089483,0.08407747772,0.04669247498
NextEra Energy_vs_Southern,0.9941943455,0.1209827372,0.08379053885,0.02607622832
NextEra Energy_vs_Rio Tinto ADR,0.9721535198,0.1877517042,0.1402130577,0.05112165215
NextEra Energy_vs_Waste Management,0.9899204743,0.1690661672,0.1303950855,0.04348370701
NextEra Energy_vs_BHP Group Ltd ADR,0.9727463085,0.223557424,0.1535653169,0.05547697723
NextEra Energy_vs_Enbridge,0.9741849296,0.20503433,0.145458166,0.03787233647
Sherwin-Williams_vs_Waste Management,0.9801670524,0.09648497847,0.06229183487,0.02824077286
Sherwin-Williams_vs_Elevance Health,0.9907911749,0.1287683469,0.1117628497,0.04191968742
Sherwin-Williams_vs_McKesson,0.9740385332,0.1375962791,0.07448711081,0.02918746031
Sherwin-Williams_vs_WW Grainger,0.9893601198,0.07944280348,0.04807039904,0.0209843124
Sherwin-Williams_vs_P&G,0.9245457005,0.1967211941,0.1116343207,0.05192622469
Enbridge_vs_Southern,0.9722511903,0.2375158766,0.2043659354,0.03495046836
Enbridge_vs_NextEra Energy,0.9742802302,0.2046555208,0.1447551654,0.03836494945
Enbridge_vs_BHP Group Ltd ADR,0.9416556361,0.3696249861,0.3121202852,0.06994479301
Enbridge_vs_Rio Tinto ADR,0.9679075458,0.2808700279,0.2395047198,0.05800048342
Enbridge_vs_Linde PLC,0.9736894997,0.3548906651,0.2908158551,0.04220137082
Enbridge_vs_Waste Management,0.9668807483,0.3403465253,0.2891040564,0.04580565822
Enbridge_vs_Elevance Health,0.980488149,0.2914722177,0.2357060652,0.04051535189
Enbridge_vs_McKesson,0.9973363991,0.1230376759,0.09476943391,0.01717107153
Enbridge_vs_WW Grainger,0.9853146847,0.2353153948,0.1934695517,0.02825523634
Enbridge_vs_P&G,0.9740408196,0.2830213848,0.2412100149,0.04317010227
Southern_vs_NextEra Energy,0.9904217672,0.1553962404,0.1161861364,0.03333877317
Southern_vs_BHP Group Ltd ADR,0.9928387462,0.1997363368,0.1581397384,0.04619810477
Southern_vs_Rio Tinto ADR,0.9926892591,0.1640157224,0.130986772,0.0415266944
Southern_vs_Linde PLC,0.9900805909,0.1174316134,0.07111248754,0.028188691
Southern_vs_Waste Management,0.9901664676,0.07567987414,0.05696519991,0.02567132605
Southern_vs_Elevance Health,0.995299869,0.09684656322,0.07402454319,0.02661486667
Southern_vs_McKesson,0.9890996344,0.09653116758,0.07506628672,0.03129425503
Southern_vs_WW Grainger,0.9850233684,0.1308298227,0.1139703556,0.06210593135
Southern_vs_P&G,0.948342793,0.1630518875,0.1282761808,0.06155024342
NextEra Energy_vs_BHP Group Ltd ADR,0.9787377662,0.1974607915,0.1411168693,0.04852431332
